"vendorNumber","brand","PurchasePrice","ActualPrice","TotalSalesQuantity","TotalSalesDollars","TotalSalesPrice","TotalExciseTax","TotalQuantityPurchase","TotalPurchaseDollars","freightCost","GrossProfit","profitmargin","stockturnover","salestoPurchaseRatio"
1128,1233,26.27,36.99,142049,5101919.51,672819.31,260999.2,145080,3811251.6,68601.68,1290667.91,25.2976925149491,0.979108078301627,1.33864673484165
4425,3405,23.19,28.99,160247,4819073.49,561512.37,294438.66,164038,3804041.22,144929.24,1015032.27,21.0628095235792,0.976889501213134,1.26682998718926
17035,8068,18.24,24.99,187140,4538120.6,461140.15,343854.07,187407,3418303.68,123780.22,1119816.92,24.6757858308129,0.998575293345499,1.32759433474325
3960,4261,16.17,22.99,200412,4475972.88,420050.01,368242.8,201682,3261197.94,257032.07,1214774.94,27.1399084080241,0.993702958122192,1.37249347091149
3960,3545,21.89,29.99,135838,4223107.62,545778.28,249587.83,138109,3023206.01,257032.07,1199901.61,28.4127642004065,0.983556466269396,1.39689707086815
480,3858,17.77,23.99,141860,3383912.4,446932.09,111699.19,138809,2466635.93,89286.27,917276.47,27.1069803698228,1.02197984280558,1.37187347303418
17035,2589,30.76,39.99,69627,2773367.73,614529.34,127931.67,70783,2177285.08,123780.22,596082.65,21.4930982124033,0.983668394953591,1.27377335906789
3960,3102,12.94,17.99,148265,2592041.35,292586.29,272422.6,161386,2088334.84,257032.07,503706.51,19.4328115174551,0.918698028329595,1.24120007019564
3960,3489,20.73,27.99,90481,2640491.19,503661.02,166244.44,91835,1903739.55,257032.07,736751.64,27.9020677209682,0.985256165949801,1.3870023291789
12546,1376,16.29,21.99,107061,2435393.39,426902.78,196707.35,108866,1773427.14,123880.97,661966.25,27.1810809998134,0.983419984200761,1.37326949332692
17035,2585,16.42,22.99,91247,2148965.53,436011.64,71840.57,93205,1530426.1,123780.22,618539.43,28.7831247809731,0.978992543318492,1.40416157957578
3960,2757,22.38,29.99,61433,1840615.67,442856.2,112875.19,66942,1498161.96,257032.07,342453.71,18.6053892500002,0.917704878850348,1.22858256927041
480,2663,21.42,29.99,70122,2189368.78,495957.83,128839.08,69001,1478001.42,89286.27,711367.36,32.4918929372876,1.01624614136027,1.48130357006017
10000,6570,6.77,10.99,214238,2326007.78,189608.96,24083.77,215668,1460072.36,17587.59,865935.42,37.2283974045865,0.993369438210583,1.59307705818087
9165,3650,33.81,48.99,41639,2009508.61,662320.04,32783.09,42951,1452173.31,68054.7,557335.3,27.7349048034186,0.969453563362902,1.38379392883898
3960,2753,44.77,59.99,28372,1739044.28,507291.43,52133.72,31596,1414552.92,257032.07,324491.36,18.659177556997,0.897961767312318,1.22939499499248
17035,5364,23.07,29.99,59771,1844950.29,504735.06,109817.07,60645,1399080.15,123780.22,445870.14,24.1670543871402,0.985588259543243,1.31868806086628
3960,8082,21.73,33.99,65184,2068091.16,494487.65,119767.49,64249,1396130.77,257032.07,671960.39,32.4918167533775,1.01455275568491,1.48130189838879
3960,8680,28.88,39.99,47966,1884307.34,596574.93,88129.8,47546,1373128.48,257032.07,511178.86,27.1282104117898,1.00883355066672,1.37227314664685
3960,4260,16.66,21.99,79042,1635666.58,121065.25,145234.95,79078,1317439.48,257032.07,318227.1,19.4554992986407,0.99954475328157,1.24154969152739
480,3348,22.38,29.99,56888,1766391.12,460087.95,104524.54,57349,1283470.62,89286.27,482920.5,27.3393867605041,0.991961498892744,1.37626143713364
